코드,lat,lon
2818575000,37.42965,126.69753
2818576100,37.42512,126.67992
2818576200,37.41339,126.68413
2818576300,37.41967,126.68847
2818576600,37.425,126.66639
2818578000,37.40858,126.65955
2818579000,37.40092,126.67113
2818579500,37.40775,126.67819
2818564000,37.4289,126.64705
2818585000,37.39171,126.62254
2818582000,37.38288,126.64709
2818584000,37.36417,126.65595
2820051000,37.44589,126.70931
2820052000,37.45651,126.71551
2820052100,37.44976,126.69748
2820052200,37.44848,126.72266
2820053000,37.4597,126.70171
2820054000,37.46144,126.71131
2820055000,37.46953,126.71551
2820055100,37.46673,126.6964
2820056000,37.45091,126.73399
2820057000,37.46507,126.73594
2820058000,37.4658,126.72674
2820058100,37.45683,126.73782
2820058200,37.45608,126.72636
2820058300,37.44192,126.73995
2820065500,37.42661,126.74818
2820066000,37.42568,126.72088
2820069000,37.40897,126.73903
2820070000,37.40764,126.70813
2820071000,37.39435,126.70298
2823751000,37.49633,126.72025
2823752000,37.47923,126.72117
2823753000,37.48445,126.70912
2823754000,37.50144,126.7261
2823755000,37.49547,126.73046
2823756000,37.48483,126.72714
2823757000,37.50407,126.69638
2823758000,37.50349,126.70526
2823758100,37.4929,126.70685
2823758200,37.50208,126.7121
2823759100,37.5178,126.69414
2823759200,37.51519,126.71332
2823764100,37.51852,126.72668
2823764200,37.51054,126.72669
2823764600,37.52035,126.74724
2823765000,37.48413,126.736
2823766000,37.49313,126.73786
2823766100,37.5023,126.73812
2823767000,37.47524,126.74855
2823768000,37.47815,126.69492
2823769000,37.47309,126.70269
2823764800,37.51254,126.73874
2824560100,37.53404,126.70805
2824560200,37.52999,126.69787
2824561100,37.54078,126.71763
2824561200,37.54771,126.72022
2824561300,37.53953,126.73166
2824562100,37.52942,126.72985
2824562200,37.53086,126.72256
2824564000,37.53035,126.748
2824572000,37.54862,126.74117
2824561400,37.53855,126.73994
2824571000,37.57175,126.72631
2824573000,37.5694,126.765
2826053000,37.54801,126.68305
2826054200,37.52911,126.67103
2826054300,37.5287,126.68136
2826054400,37.51805,126.68148
2826055000,37.51019,126.66859
2826056000,37.50311,126.65815
2826056100,37.50649,126.68148
2826058000,37.49138,126.66258
2826059000,37.49507,126.68598
2826060000,37.4877,126.68016
2826061000,37.4861,126.68847
2826069000,37.61793,126.67713
2826070000,37.59303,126.69717
2826057500,37.51027,126.6364
2826053600,37.5308,126.65552
2826053700,37.5334,126.64079
2826068000,37.61223,126.65266
2871025000,37.75273,126.48971
2871031000,37.71661,126.48863
2871032000,37.68325,126.48551
2871033000,37.62228,126.50108
2871034000,37.61911,126.42306
2871035000,37.67146,126.42974
2871036000,37.72206,126.38876
2871037000,37.76236,126.40061
2871038000,37.80314,126.40155
2871039000,37.77982,126.46006
2871040000,37.78687,126.26539
2871041000,37.69571,126.32635
2871042000,37.67182,126.18671
2872031000,37.52679,126.45443
2872038000,37.6683,125.69639
2872033000,37.95319,124.67429
2872034000,37.82427,124.70019
2872035000,37.23376,126.12253
2872037000,37.25693,126.31427
2872036000,37.2573,126.46211
2911052500,35.15058,126.91538
2911054500,35.15066,126.92539
2911056000,35.15934,126.91749
2911057000,35.16024,126.9238
2911059000,35.15602,126.92865
2911060000,35.15697,126.9377
2911062000,35.15,126.9311
2911063000,35.14804,126.94475
2911065500,35.14228,126.92722
2911068500,35.13663,126.92424
2911071000,35.1284,126.96359
2911073000,35.12764,126.93717
2911074000,35.10133,126.94932
2914057500,35.15248,126.90236
2914059000,35.15795,126.8949
2914065000,35.156,126.88904
2914066000,35.15058,126.88647
2914073000,35.16542,126.88027
2914074000,35.16382,126.84601
2914075100,35.15619,126.86192
2914075200,35.14656,126.86161
2914076000,35.15532,126.87667
2914077000,35.14533,126.88204
2914078000,35.14498,126.87632
2914079000,35.13994,126.87022
2914080000,35.11684,126.83247
2914074500,35.15284,126.84526
